Paper_Name,Year,Citation_Number,Author_Name,Snippet,Link
Non-myopic strategies in prediction markets,2008,64,Stanko Dimitrov/Rahul Sami,"One attractive feature of market scoring rules [Hanson, Information Systems Frontiers, 2003] is that they are myopically strategyproof: It is optimal for a trader to report her true belief about the likelihood of an event provided that we ignore the impact of her report on the profit she might garner from future trades. This does not rule out the possibility that traders may profit by first misleading other traders through dishonest trades and then correcting the errors made by other traders. In this paper, we describe a new approach to analyzing non …",https://dl.acm.org/doi/abs/10.1145/1386790.1386823
Better redistribution with inefficient allocation in multi-unit auctions with unit demand,2008,38,Mingyu Guo/Vincent Conitzer,"For the problem of allocating one or more items among a group of competing agents, the Vickrey-Clarke-Groves (VCG) mechanism is strategy-proof and efficient. However, the VCG mechanism is not strongly budget balanced: in general, value flows out of the system of agents in the form of VCG payments, which reduces the agents' utilities. In many settings, the objective is to maximize the sum of the agents' utilities (taking payments into account). For this purpose, several VCG redistribution mechanisms have been proposed that redistribute …",https://dl.acm.org/doi/abs/10.1145/1386790.1386825
Efficiency and redistribution in dynamic mechanism design,2008,64,Ruggiero Cavallo,"The emerging area of dynamic mechanism design seeks to achieve desirable equilibrium outcomes in multi-agent sequential decision-making problems with self-interest. Here we take the goal of maximizing social welfare. We start by extending the characterization result of Green & Laffont [1977] to a dynamic setting, defining the dynamic-Groves class of dynamic mechanisms and showing that it exactly corresponds to the set of mechanisms that are efficient (social welfare maximizing) and incentive compatible in an ex post equilibrium …",https://dl.acm.org/doi/abs/10.1145/1386790.1386826
A visual interface for critiquing-based recommender systems,2008,54,Jiyong Zhang/Nicolas Jones/Pearl Pu,"Critiquing-based recommender systems provide an efficient way for users to navigate through complex product spaces even if they are not familiar with the domain details in e-commerce environments. While recent researchers have mainly concentrated on methods for generating high quality compound critiques, to date there has been a lack of comprehensive investigation on the interface design issues. Traditionally the interface is textual, which shows compound critiques in plain text and may not be easily understood. In …",https://dl.acm.org/doi/abs/10.1145/1386790.1386827
"Popularity, novelty and attention",2008,72,Fang Wu/Bernardo A. Huberman,… We analyze the role that popularity and novelty play in attracting the attention of users to … to maximize attention. The first one prioritizes novelty while the second emphasizes popularity. …,https://dl.acm.org/doi/abs/10.1145/1386790.1386828
Crowdsourcing and knowledge sharing: strategic user behavior on taskcn,2008,310,Jiang Yang/Lada A. Adamic/Mark S. Ackerman,"Witkeys are a thriving type of web-based knowledge sharing market in China, supporting a form of crowdsourcing. In a Witkey site, users offer a small award for a solution to a task, and other users compete to have their solution selected. In this paper, we examine the behavior of users on one of the biggest Witkey websites in China, Taskcn. com. On Taskcn, we observed several characteristics in users' activity over time. Most users become inactive after only a few submissions. Others keep attempting tasks. Over time, users tend to select tasks …",https://dl.acm.org/doi/abs/10.1145/1386790.1386829
Uncoordinated two-sided matching markets,2008,114,Heiner Ackermann/Paul W. Goldberg/Vahab S. Mirrokni/Heiko Röglin/Berthold Vöcking,"Various economic interactions can be modeled as two-sided markets. A central solution concept to these markets are stable matchings, introduced by Gale and Shapley. It is well known that stable matchings can be computed in polynomial time, but many real-life markets lack a central authority to match agents. In those markets, matchings are formed by actions of self-interested agents. Knuth introduced uncoordinated two-sided markets and showed that the uncoordinated better response dynamics may cycle. However, Roth and Vande Vate …",https://dl.acm.org/doi/abs/10.1145/1386790.1386831
Fast convergence to nearly optimal solutions in potential games,2008,127,Baruch Awerbuch/Yossi Azar/Amir Epstein/Vahab S. Mirrokni/Alexander Skopalik,"We study the speed of convergence of decentralized dynamics to approximately optimal solutions in potential games. We consider α-Nash dynamics in which a player makes a move if the improvement in his payoff is more than an α factor of his own payoff. Despite the known polynomial convergence of α-Nash dynamics to approximate Nash equilibria in symmetric congestion games [7], it has been shown that the convergence time to approximate Nash equilibria in asymmetric congestion games is exponential [25]. In contrast …",https://dl.acm.org/doi/abs/10.1145/1386790.1386832
Fault tolerance in large games,2008,24,Ronen Gradwohl/Omer Reingold,"… However, in this paper we show that large games are innately fault tolerant. We … of large games – λ-continuous games and anonymous games – are resilient against Byzantine faults (ie …",https://www.sciencedirect.com/science/article/pii/S0899825613000894
Strategic network formation with structural holes,2008,152,Jon M. Kleinberg/Siddharth Suri/Éva Tardos/Tom Wexler,"A fundamental principle in social network research is that individuals can benefit from serving as intermediaries between others who are not directly connected. Through such intermediation, they potentially can broker the flow of information and synthesize ideas arising in different parts of the network. These principles form the underpinning for the theory of structural holes, which studies the ways in which individuals, particularly in organizational settings, fill the"" holes"" between people or groups that are not otherwise interacting. We …",https://dl.acm.org/doi/abs/10.1145/1386790.1386835
On the windfall of friendship: inoculation strategies on social networks,2008,59,Dominic Meier/Yvonne Anne Oswald/Stefan Schmid/Roger Wattenhofer,"This paper studies a virus inoculation game on social networks. A framework is presented which allows the measuring of the windfall of friendship, ie, how much players benefit if they care about the welfare of their direct neighbors in the social network graph compared to purely selfish environments. We analyze the corresponding equilibria and show that the computation of the worst and best Nash equilibrium is NP-hard. Intriguingly, even though the windfall of friendship can never be negative, the social welfare does not increase …",https://dl.acm.org/doi/abs/10.1145/1386790.1386836
Strong regularities in online peer production,2008,201,Dennis M. Wilkinson,"Online peer production systems have enabled people to coactively create, share, classify, and rate content on an unprecedented scale. This paper describes strong macroscopic regularities in how people contribute to peer production systems, and shows how these regularities arise from simple dynamical rules. First, it is demonstrated that the probability a person stops contributing varies inversely with the number of contributions he has made. This rule leads to a power law distribution for the number of contributions per person in …",https://dl.acm.org/doi/abs/10.1145/1386790.1386837
Predicting trusts among users of online communities: an epinions case study,2008,244,Haifeng Liu/Ee-Peng Lim/Hady Wirawan Lauw/Minh-Tam Le/Aixin Sun/Jaideep Srivastava/Young Ae Kim,"Trust between a pair of users is an important piece of information for users in an online community (such as electronic commerce websites and product review websites) where users may rely on trust information to make decisions. In this paper, we address the problem of predicting whether a user trusts another user. Most prior work infers unknown trust ratings from known trust ratings. The effectiveness of this approach depends on the connectivity of the known web of trust and can be quite poor when the connectivity is very sparse which is …",https://dl.acm.org/doi/abs/10.1145/1386790.1386838
On the complexity of nash dynamics and sink equilibria,2009,17,Vahab S. Mirrokni/Alexander Skopalik,"Studying Nash dynamics is an important approach for analyzing the outcome of games with repeated selfish behavior of self-interested agents. Sink equilibria has been introduced by Goemans, Mirrokni, and Vetta for studying social cost on Nash dynamics over pure strategies in games. However, they do not address the complexity of sink equilibria in these games. Recently, Fabrikant and Papadimitriou initiated the study of the complexity of Nash dynamics in two classes of games. In order to completely understand the complexity of Nash …",https://dl.acm.org/doi/abs/10.1145/1566374.1566376
On representing coalitional games with externalities,2009,32,Tomasz P. Michalak/Talal Rahwan/Jacek Sroka/Andrew James Dowell/Michael J. Wooldridge/Peter McBurney/Nicholas R. Jennings,"We consider the issue of representing coalitional games in multi-agent systems with externalities (ie, in systems where the performance of one coalition may be affected by other co-existing coalitions). In addition to the conventional partition function game representation (PFG), we propose a number of new representations based on a new notion of externalities. In contrast to conventional game theory, our new concept is not related to the process by which the coalitions are formed, but rather to the effect that each coalition may have on the …",https://dl.acm.org/doi/abs/10.1145/1566374.1566377
Pricing traffic in a spanning network,2009,12,Hervé Moulin,"Each user of the network needs to connect a pair of target nodes. There are no variable congestion costs, only a direct connection cost for each pair of nodes. A centralized mechanism elicits target pairs from users, and builds the cheapest forest meeting all demands. We look for cost sharing rules satisfying• Routing-proofness: no user can lower its cost by reporting as several users along an alternative path connecting his target nodes;• Stand Alone core stability: no group of users pay more than the cost of a subnetwork …",https://dl.acm.org/doi/abs/10.1145/1566374.1566378
A new perspective on implementation by voting trees,2009,22,Felix A. Fischer/Ariel D. Procaccia/Alex Samorodnitsky,"Voting trees provide an abstract model of decision-making among a group of individuals in terms of an iterative procedure for selecting a single vertex from a tournament. A family of voting trees is said to implement a given voting rule if for every tournament it chooses according to the rule. While partial results concerning implementable rules and necessary conditions for implementability have been obtained, a complete characterization of voting rules implementable by trees has proven surprisingly hard to find. A prominent rule that …",https://dl.acm.org/doi/abs/10.1145/1566374.1566379
Limited and online supply and the bayesian foundations of prior-free mechanism design,2009,49,Nikhil R. Devanur/Jason D. Hartline,We study auctions for selling a limited supply of a single commodity in the case where the supply is known in advance and the case it is unknown and must be instead allocated in an online fashion. The latter variant was proposed by Mahdian and Saberi [12] as a model of an important phenomena in auctions for selling Internet advertising: advertising impressions must be allocated as they arrive and the total quantity available is unknown in advance. We describe the Bayesian optimal mechanism for these variants and extend the random …,https://dl.acm.org/doi/abs/10.1145/1566374.1566381
Computational analysis of perfect-information position auctions,2009,44,David Robert Martin Thompson/Kevin Leyton-Brown,"Position auctions were widely used by search engines to sell keyword advertising before being well understood (and, indeed, studied) theoretically. To date, theorists have made significant progress, for example showing that a given auction is efficient or revenue-dominates a benchmark auction such as VCG. This paper augments that line of work, relying on computational equilibrium analysis. By computing Nash equilibria and calculating their expected revenue and social welfare, we can quantitatively answer questions that …",https://dl.acm.org/doi/abs/10.1145/1566374.1566382
Selling ad campaigns: online algorithms with cancellations,2009,64,Moshe Babaioff/Jason D. Hartline/Robert D. Kleinberg,"We study online pricing problems in markets with cancellations, ie, markets in which prior allocation decisions can be revoked, but at a cost. In our model, a seller receives requests online and chooses which requests to accept, subject to constraints on the subsets of requests which may be accepted simultaneously. A request, once accepted, can be canceled at a cost which is a fixed fraction of the request value. This scenario models a market for web advertising campaigns, in which the buyback cost represents the cost of …",https://dl.acm.org/doi/abs/10.1145/1566374.1566383
The adwords problem: online keyword matching with budgeted bidders under random permutations,2009,432,Nikhil R. Devanur/Thomas P. Hayes,"We consider the problem of a search engine trying to assign a sequence of search keywords to a set of competing bidders, each with a daily spending limit. The goal is to maximize the revenue generated by these keyword sales, bearing in mind that, as some bidders may eventually exceed their budget, not all keywords should be sold to the highest bidder. We assume that the sequence of keywords (or equivalently, of bids) is revealed on-line. Our concern will be the competitive ratio for this problem versus the off-line optimum. We extend …",https://dl.acm.org/doi/abs/10.1145/1566374.1566384
Characterizing truthful multi-armed bandit mechanisms: extended abstract,2009,176,Moshe Babaioff/Yogeshwer Sharma/Aleksandrs Slivkins,Missing,Missing
Self-correcting sampling-based dynamic multi-unit auctions,2009,18,Florin Constantin/David C. Parkes,"We exploit methods of sample-based stochastic optimization for the purpose of strategyproof dynamic, multi-unit auctions. There are no analytic characterizations of optimal policies for this domain and thus a heuristic approach, such as that proposed here, seems necessary in practice. Following the suggestion of Parkes and Duong [17], we perform sensitivity analysis on the allocation decisions of an online algorithm for stochastic optimization, and correct the decisions to enable a strategyproof auction. In applying this approach to the allocation of …",https://dl.acm.org/doi/abs/10.1145/1566374.1566387
The price of truthfulness for pay-per-click auctions,2009,138,Nikhil R. Devanur/Sham M. Kakade,"We analyze the problem of designing a truthful pay-per-click auction where the click-through-rates (CTR) of the bidders are unknown to the auction. Such an auction faces the classic explore/exploit dilemma: while gathering information about the click through rates of advertisers, the mechanism may loose revenue; however, this gleaned information may prove valuable in the future for a more profitable allocation. In this sense, such mechanisms are prime candidates to be designed using multi-armed bandit techniques. However, a …",https://dl.acm.org/doi/abs/10.1145/1566374.1566388
Bayes-nash equilibria of the generalized second price auction,2009,150,Renato D. Gomes/Kane S. Sweeney,"We develop a Bayes-Nash analysis of the Generalized Second Price (GSP) auction. First, we characterize the efficient Bayes-Nash equilibrium of the GSP when such an equilibrium exists. We obtain sufficient conditions on click-through rates that guarantee existence and show that an efficient equilibrium may fail to exist if click-through rates across slots are sufficiently close. Next, we derive the counter-intuitive result that the seller's revenue may decrease as click-through rates increase. Fortunately, we show that setting optimal reserve …",https://dl.acm.org/doi/abs/10.1145/1566374.1566389
Eliciting truthful answers to multiple-choice questions,2009,74,Nicolas S. Lambert/Yoav Shoham,"Motivated by the prevalence of online questionnaires in electronic commerce, and of multiple-choice questions in such questionnaires, we consider the problem of eliciting truthful answers to multiple-choice questions from a knowledgeable respondent. Specifically, each question is a statement regarding an uncertain future event, and is multiple-choice--the responder must select exactly one of the given answers. The principal offers a payment, whose amount is a function of the answer selected and the true outcome …",https://dl.acm.org/doi/abs/10.1145/1566374.1566391
Crowdsourcing and all-pay auctions,2009,373,Dominic DiPalantino/Milan Vojnovic,"In this paper we present and analyze a model in which users select among, and subsequently compete in, a collection of contests offering various rewards. The objective is to capture the essential features of a crowdsourcing system, an environment in which diverse tasks are presented to a large community. We aim to demonstrate the precise relationship between incentives and participation in such systems. We model contests as all-pay auctions with incomplete information; as a consequence of revenue equivalence, our …",https://dl.acm.org/doi/abs/10.1145/1566374.1566392
Designing incentives for online question and answer forums,2009,161,Shaili Jain/Yiling Chen/David C. Parkes,"In this paper, we provide a simple game-theoretic model of an online question and answer forum. We focus on factual questions in which user responses aggregate while a question remains open. Each user has a unique piece of information and can decide when to report this information. The asker prefers to receive information sooner rather than later, and will stop the process when satisfied with the cumulative value of the posted information. We consider two distinct cases: a complements case, in which each successive piece of …",https://dl.acm.org/doi/abs/10.1145/1566374.1566393
Substitutes or complements: another step forward in recommendations,2009,43,Jiaqian Zheng/Xiaoyuan Wu/Junyu Niu/Alvaro Bolivar,"In this paper, we introduce the method tagging substitute-complement attributes on miscellaneous recommending relations, and elaborate how this step contributes to electronic merchandising. There are already decades of works in building recommender systems. Steadily outperforming previous algorithms is difficult under the conventional framework. However, in real merchandising scenarios, we find describing the weight of recommendation simply as a scalar number is hardly expressive, which hinders the further …",https://dl.acm.org/doi/pdf/10.1145/1566374.1566394
Optimal collusion-resistant mechanisms with verification,2009,32,Paolo Penna/Carmine Ventre,"We present the first general positive result on the construction of collusion-resistant mechanisms, that is, mechanisms that guarantee dominant strategies even when agents can form arbitrary coalitions and exchange compensations (sometimes referred to as transferable utilities or side payments). This is a much stronger solution concept as compared to truthful or even group strategyproof mechanisms, and only impossibility results were known for this type of mechanisms in the “classical” model. We describe collusion …",https://www.sciencedirect.com/science/article/pii/S0899825612001340
But who will monitor the monitor,2009,163,David M. Rahman,"… monitor responsible for monitoring, and thereby provides incentives even when the monitor’s observations are not only private, but … such a contract can provide monitors with the right …",https://www.aeaweb.org/articles?id=10.1257/aer.102.6.2767
Network bargaining: algorithms and structural results,2009,31,Tanmoy Chakraborty/Michael J. Kearns/Sanjeev Khanna,"We consider models for bargaining in social networks, in which players are represented by vertices and edges represent bilateral opportunities for deals between pairs of players. Each deal yields some fixed wealth if its two players can agree on how to divide it; otherwise it yields no wealth. In such a setting, Chakraborty and Kearns (WINE 2008) introduced a simple axiomatic model that stipulates an equilibrium concept in which all players are rationally satisfied with their shares. We further explore that equilibrium concept here. In …",https://dl.acm.org/doi/abs/10.1145/1566374.1566398
An optimal lower bound for anonymous scheduling mechanisms,2009,84,Itai Ashlagi/Shahar Dobzinski/Ron Lavi,"We consider the problem of designing truthful mechanisms to minimize the makespan on m unrelated machines. In their seminal paper, Nisan and Ronen [14] showed a lower bound of 2, and an upper bound of m, thus leaving a large gap. They conjectured that their upper bound is tight, but were unable to prove it. Despite many attempts that yield positive results for several special cases, the conjecture is far from being solved: the lower bound was only recently slightly increased to 2.61 [5, 10], while the best upper bound remained unchanged …",https://dl.acm.org/doi/abs/10.1145/1566374.1566399
Approximate mechanism design without money,2009,417,Ariel D. Procaccia/Moshe Tennenholtz,"… and lower bounds for the approximation ratio given by strategyproof mechanisms without payments, with respect to both deterministic and randomized mechanisms, under two objective …",https://dl.acm.org/doi/abs/10.1145/2542174.2542175
On random sampling auctions for digital goods,2009,39,Saeed Alaei/Azarakhsh Malekian/Aravind Srinivasan,"In the context of auctions for digital goods, an interesting Random Sampling Optimal Price auction (RSOP) has been proposed by Goldberg, Hartline and Wright; this leads to a truthful mechanism. Since random sampling is a popular approach for auctions that aims to maximize the seller's revenue, this method has been analyzed further by Feige, Flaxman, Hartline and Kleinberg, who have shown that it is 15-competitive in the worst case--which is substantially better than the previously proved bounds but still far from the conjectured …",https://dl.acm.org/doi/abs/10.1145/1566374.1566402
A qualitative vickrey auction,2009,29,Paul Harrenstein/Mathijs de Weerdt/Vincent Conitzer,"… of the Vickrey auction that does not assume that the agents’ preferences are quasilinear, but nevertheless retains some of the Vickrey auction’s desirable properties. In this auction, a bid …",https://dl.acm.org/doi/abs/10.1145/1566374.1566403
Destroy to save,2009,43,Geoffroy de Clippel/Victor Naroditskiy/Amy Greenwald,"… In service of this goal, we study a class of mechanisms that may burn not only money but destroy items as well. Our key finding is that destroying items can save money, and hence lead …",https://dl.acm.org/doi/abs/10.1145/1566374.1566404
Managing the quality of CPC traffic,2009,6,Bobji Mungamuru/Hector Garcia-Molina,"We show how an online advertising network can use filtering, predictive pricing and revenue sharing together to manage the quality of cost-per-click (CPC) traffic. Our results suggest that predictive pricing alone can and should be used instead of filtering to manage organic traffic quality, whereas either method can be used to deter click inflation.",https://dl.acm.org/doi/abs/10.1145/1566374.1566406
Simple versus optimal mechanisms,2009,360,Jason D. Hartline/Tim Roughgarden,"… expected revenues of different mechanisms are absolutely comparable. As is traditional in optimal mechanism design, we assume that the mechanism designer knows this distribution …",https://dl.acm.org/doi/abs/10.1145/1566374.1566407
Efficiency of (revenue-)optimal mechanisms,2009,32,Gagan Aggarwal/Gagan Goel/Aranyak Mehta,Missing,Missing
Revenue submodularity,2009,84,Shaddin Dughmi/Tim Roughgarden/Mukund Sundararajan,"… We identify a key sufficient condition under which the VCG mechanism is revenuesubmodular with iid bidders, which is a matroid rank condition stating that there is “sufficient …",https://dl.acm.org/doi/abs/10.1145/1566374.1566409
Information aggregation in dynamic markets with strategic traders,2009,196,Michael Ostrovsky,"This paper studies information aggregation in dynamic markets with a finite number of partially informed strategic traders. It shows that for a broad class of securities, information in such markets always gets aggregated. Trading takes place in a bounded time interval, and in every equilibrium, as time approaches the end of the interval, the market price of a"" separable"" security converges in probability to its expected value based on the traders' pooled information.",https://dl.acm.org/doi/abs/10.1145/1566374.1566411
A unified framework for dynamic pari-mutuel information market design,2009,35,Shipra Agrawal/Erick Delage/Mark Peters/Zizhuo Wang/Yinyu Ye,"Recently, coinciding with and perhaps driving the increased popularity of prediction markets, several novel pari-mutuel mechanisms have been developed such as the logarithmic market scoring rule (LMSR), the cost-function formulation of market makers, and the sequential convex parimutuel mechanism (SCPM). In this work, we present a unified convex optimization framework which connects these seemingly unrelated models for centrally organizing contingent claims markets. The existing mechanisms can be expressed in our …",https://dl.acm.org/doi/abs/10.1145/1566374.1566412
"Collective revelation: a mechanism for self-verified, weighted, and truthful predictions",2009,33,Sharad Goel/Daniel M. Reeves/David M. Pennock,"Decision makers can benefit from the subjective judgment of experts. For example, estimates of disease prevalence are quite valuable, yet can be difficult to measure objectively. Useful features of mechanisms for aggregating expert opinions include the ability to:(1) incentivize participants to be truthful;(2) adjust for the fact that some experts are better informed than others; and (3) circumvent the need for objective,"" ground truth"" observations. Subsets of these properties are attainable by previous elicitation methods …",https://dl.acm.org/doi/abs/10.1145/1566374.1566413
Modeling volatility in prediction markets,2009,6,Nikolay Archak/Panagiotis G. Ipeirotis,"There is significant experimental evidence that prediction markets are efficient mechanisms for aggregating information and are more accurate in forecasting events than traditional forecasting methods, such as polls. Interpretation of prediction market prices as probabilities has been extensively studied in the literature. However there is little research on the volatility of prediction market prices. Given that volatility is fundamental in estimating significance of price movements, it is important to have a better understanding of the volatility of the contract …",https://dl.acm.org/doi/abs/10.1145/1566374.1566414
The price of uncertainty,2009,27,Maria-Florina Balcan/Avrim Blum/Yishay Mansour,"… have the property that the expected price of uncertainty in the … We start by showing that if the true (unperturbed) cost of the … matter how the adversary adjusts the costs, the expected drop …",https://dl.acm.org/doi/abs/10.1145/1566374.1566416
Policy teaching through reward function learning,2009,62,Haoqi Zhang/David C. Parkes/Yiling Chen,"Policy teaching considers a Markov Decision Process setting in which an interested party aims to influence an agent's decisions by providing limited incentives. In this paper, we consider the specific objective of inducing a pre-specified desired policy. We examine both the case in which the agent's reward function is known and unknown to the interested party, presenting a linear program for the former case and formulating an active, indirect elicitation method for the latter. We provide conditions for logarithmic convergence, and present a …",https://dl.acm.org/doi/abs/10.1145/1566374.1566417
The price of anarchy in bertrand games,2009,23,Shuchi Chawla/Feng Niu,"The Internet is composed of multiple economically-independent service providers that sell bandwidth in their networks so as to maximize their own revenue. Users, on the other hand, route their traffic selfishly to maximize their own utility. How does this selfishness impact the efficiency of operation of the network? To answer this question we consider a two-stage network pricing game where service providers first select prices to charge on their links, and users pick paths to route their traffic. We give tight bounds on the price of anarchy of the …",https://dl.acm.org/doi/abs/10.1145/1566374.1566418
On the price of mediation,2009,13,Milan Bradonjic/Gunes Ercal-Ozkaya/Adam Meyerson/Alan Roytman,… The paper of Ashlagi et al [1] measures the social benefit of optimum mediation in … on games with positive costs (negative utilities). Major results in [1] include proving that mediation …,https://dl.acm.org/doi/abs/10.1145/1566374.1566419
Social influence and the diffusion of user-created content,2009,463,Eytan Bakshy/Brian Karrer/Lada A. Adamic,"… social influence based on the change in adoption rate following the actions of one’s friends and find that the social … , we focus on studying content that is freely available, non-trivial to …",https://dl.acm.org/doi/abs/10.1145/1566374.1566421
Social lending,2009,36,Ning Chen/Arpita Ghosh/Nicolas S. Lambert,"… at lower interest rates and costs, and lenders with an opportunity for investments with higher … used to finance loans by the largest such social lending marketplace. Social lending is now …",https://dl.acm.org/doi/abs/10.1145/1566374.1566422
Sybilproof transitive trust protocols,2009,43,Paul Resnick/Rahul Sami,"… In order to prove that the generalized hedged-transitive protocol is sum-sybilproof, we first present some basic transformations that allow us to derive new sum-sybilproof transaction …",https://dl.acm.org/doi/abs/10.1145/1566374.1566423
An exact almost optimal algorithm for target set selection in social networks,2009,46,Oren Ben-Zwi/Danny Hermelin/Daniel Lokshtanov/Ilan Newman,"The Target Set Selection problem proposed by Kempe, Kleinberg, and Tardos, gives a nice clean combinatorial formulation for many problems arising in economy, sociology, and medicine. Its input is a graph with vertex thresholds, the social network, and the goal is to find a subset of vertices, the target set, that"" activates"" a prespecified number of vertices in the graph. Activation of a vertex is defined via a so-called activation process as follows: Initially, all vertices in the target set become active. Then at each step i of the process, each …",https://dl.acm.org/doi/abs/10.1145/1566374.1566424
Information asymmetries in pay-per-bid auctions,2010,60,John W. Byers/Michael Mitzenmacher/Georgios Zervas,"… auctions, based on both modeling and datasets derived from auctions at Swoopo.com, the leading pay-per-bid auction … analyze the impact of information asymmetry broadly, as well as …",https://dl.acm.org/doi/abs/10.1145/1807342.1807344
Auctions with online supply,2010,31,Moshe Babaioff/Liad Blumrosen/Aaron Roth,"… online with the goal of maximizing social welfare. We consider two models of unknown supply: the adversarial supply … arbitrary supply, and the stochastic supply model, in which supply …",https://dl.acm.org/doi/abs/10.1145/1807342.1807345
Auctions with intermediaries: extended abstract,2010,72,Jon Feldman/Vahab S. Mirrokni/S. Muthukrishnan/Mallesh M. Pai,Missing,Missing
Computation and incentives in combinatorial public projects,2010,43,David Buchfuhrer/Michael Schapira/Yaron Singer,"The Combinatorial Public Projects Problem (CPPP) is an abstraction of resource allocation problems in which agents have preferences over alternatives, and an outcome that is to be collectively shared by the agents is chosen so as to maximize the social welfare. We explore CPPP from both computational perspective and a mechanism design perspective. We examine CPPP in the hierarchy of complement free (subadditive) valuation classes and present positive and negative results for both unrestricted and truthful algorithms.",https://dl.acm.org/doi/abs/10.1145/1807342.1807348
Truthful mechanisms with implicit payment computation,2010,113,Moshe Babaioff/Robert D. Kleinberg/Aleksandrs Slivkins,It is widely believed that computing payments needed to induce truthful bidding is somehow harder than simply computing the allocation. We show that the opposite is true: creating a randomized truthful mechanism is essentially as easy as a single call to a monotone allocation rule. Our main result is a general procedure to take a monotone allocation rule for a single-parameter domain and transform it (via a black-box reduction) into a randomized mechanism that is truthful in expectation and individually rational for every realization. The …,https://dl.acm.org/doi/abs/10.1145/2724705
Composition of markets with conflicting incentives,2010,23,Stanko Dimitrov/Rahul Sami,"We study information revelation in scoring rule and prediction market mechanisms in settings in which traders have conflicting incentives due to opportunities to profit from the market operator's subsequent actions. In our canonical model, an agent Alice is offered an incentive-compatible scoring rule to reveal her beliefs about a future event, but can also profit from misleading another trader Bob about her information and then making money off Bob's error in a subsequent market. We show that, in any weak Perfect Bayesian Equilibrium …",https://dl.acm.org/doi/abs/10.1145/1807342.1807350
Computing pure strategy nash equilibria in compact symmetric games,2010,15,Christopher Thomas Ryan/Albert Xin Jiang/Kevin Leyton-Brown,"We analyze the complexity of computing pure strategy Nash equilibria (PSNE) in symmetric games with a fixed number of actions. We restrict ourselves to"" compact"" representations, meaning that the number of players can be exponential in the representation size. We show that in the general case, where utility functions are represented as arbitrary circuits, the problem of deciding the existence of PSNE is NP-complete. For the special case of games with two actions, we show that there always exists a PSNE and give a polynomial-time …",https://dl.acm.org/doi/abs/10.1145/1807342.1807352
"Approximating pure nash equilibrium in cut, party affiliation, and satisfiability games",2010,49,Anand Bhalgat/Tanmoy Chakraborty/Sanjeev Khanna,"Cut games and party affiliation games are well-known classes of potential games. Schaffer and Yannakakis showed that computing pure Nash equilibrium in these games is PLS-complete. In general potential games, even the problem of computing any finite approximation to a pure equilibrium is also PLS-complete. We show that for any∈> 0, we design an algorithm to compute in polynomial time a (3+∈)-approximate pure Nash equilibrium for cut and party affiliation games. Prior to our work, only a trivial polynomial …",https://dl.acm.org/doi/abs/10.1145/1807342.1807353
Computing optimal strategies to commit to in extensive-form games,2010,87,Joshua Letchford/Vincent Conitzer,"Computing optimal strategies to commit to in general normal-form or Bayesian games is a topic that has recently been gaining attention, in part due to the application of such algorithms in various security and law enforcement scenarios. In this paper, we extend this line of work to the more general case of commitment in extensive-form games. We show that in some cases, the optimal strategy can be computed in polynomial time; in others, computing it is NP-hard.",https://dl.acm.org/doi/abs/10.1145/1807342.1807354
Congestible services and network effects,2010,42,Ramesh Johari/Sunil Kumar,"We study a system where many identical users of a service share a common resource. Each user is sensitive to congestion at the resource, but also experiences a positive network effect. We consider a model where both effects depend on the usage of individuals in the system, as well as potentially the number of users in the system. We consider two benchmark scales for the service: the subscriber base most preferred by an individual user, and the subscriber base most preferred by the service manager. The latter can be …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c9dbb4f5a18b143cfec73ee83d6068646927b8ba
"Innovation, openness &amp; platform control",2010,710,Geoffrey G. Parker/Marshall W. van Alstyne,Missing,Missing
Market design &amp; analysis for a P2P backup system,2010,25,Sven Seuken/Denis Xavier Charles/Max Chickering/Sidd Puri,Missing,Missing
Optimal online assignment with forecasts,2010,110,Erik Vee/Sergei Vassilvitskii/Jayavel Shanmugasundaram,"Motivated by the allocation problem facing publishers in display advertising we formulate the online assignment with forecast problem, a version of the online allocation problem where the algorithm has access to random samples from the future set of arriving vertices. We provide a solution that allows us to serve Internet users in an online manner that is provably nearly optimal. Our technique applies to the forecast version of a large class of online assignment problems, such as online bipartite matching, allocation, and budgeted bidders …",https://dl.acm.org/doi/abs/10.1145/1807342.1807360
Matching in networks with bilateral contracts: extended abstract,2010,121,John William Hatfield/Scott Duke Kominers,Missing,Missing
Fast algorithms for finding matchings in lopsided bipartite graphs with applications to display ads,2010,25,Denis Xavier Charles/Max Chickering/Nikhil R. Devanur/Kamal Jain/Manan Sanghi,"We derive efficient algorithms for both detecting and representing matchings in lopsided bipartite graphs; such graphs have so many nodes on one side that it is infeasible to represent them in memory or to identify matchings using standard approaches. Detecting and representing matchings in lopsided bipartite graphs is important for allocating and delivering guaranteed-placement display ads, where the corresponding bipartite graph of interest has nodes representing advertisers on one side and nodes representing web-page …",https://dl.acm.org/doi/abs/10.1145/1807342.1807362
